[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0개 완료, 0번부터 재시작
새 컬렉션 생성
  [10600/31879] 435s, ETA 874s
  [10650/31879] 437s, ETA 870s
  [10700/31879] 439s, ETA 869s
  [10750/31879] 442s, ETA 869s
  [10800/31879] 444s, ETA 867s
  [10850/31879] 446s, ETA 865s
  [10900/31879] 450s, ETA 866s
  [10950/31879] 453s, ETA 865s
  [11000/31879] 454s, ETA 862s
  [11050/31879] 455s, ETA 858s
  [11100/31879] 456s, ETA 854s
  [11150/31879] 459s, ETA 854s
  [11200/31879] 462s, ETA 854s
  [11250/31879] 465s, ETA 853s
  [11300/31879] 468s, ETA 852s
  [11350/31879] 470s, ETA 850s
  [11400/31879] 471s, ETA 847s
  [11450/31879] 473s, ETA 843s
  [11500/31879] 476s, ETA 843s
  [11550/31879] 478s, ETA 841s
  [11600/31879] 482s, ETA 843s
  [11650/31879] 485s, ETA 843s
  [11700/31879] 488s, ETA 841s
  [11750/31879] 489s, ETA 837s
  [11800/31879] 491s, ETA 836s
  [11850/31879] 494s, ETA 835s
  [11900/31879] 495s, ETA 831s
  [11950/31879] 498s, ETA 830s
  [12000/31879] 499s, ETA 826s
  [12050/31879] 502s, ETA 825s
  [12100/31879] 503s, ETA 822s
  [12150/31879] 506s, ETA 822s
  [12200/31879] 509s, ETA 821s
  [12250/31879] 511s, ETA 819s
  [12300/31879] 513s, ETA 817s
  [12350/31879] 514s, ETA 813s
  [12400/31879] 522s, ETA 821s
  [12450/31879] 524s, ETA 818s
  [12500/31879] 527s, ETA 817s
  [12550/31879] 528s, ETA 813s
  [12600/31879] 531s, ETA 813s
  [12650/31879] 534s, ETA 812s
  [12700/31879] 536s, ETA 810s
  [12750/31879] 537s, ETA 806s
  [12800/31879] 540s, ETA 804s
  [12850/31879] 541s, ETA 802s
  [12900/31879] 546s, ETA 803s
  [12950/31879] 548s, ETA 801s
  [13000/31879] 550s, ETA 799s
  [13050/31879] 551s, ETA 796s
  [13100/31879] 553s, ETA 792s
  [13150/31879] 555s, ETA 791s
  [13200/31879] 556s, ETA 787s
  [13250/31879] 559s, ETA 786s
  [13300/31879] 563s, ETA 786s
  [13350/31879] 564s, ETA 783s
  [13400/31879] 567s, ETA 781s
  [13450/31879] 570s, ETA 781s
  [13500/31879] 572s, ETA 779s
  [13550/31879] 574s, ETA 776s
  [13600/31879] 577s, ETA 775s
  [13650/31879] 579s, ETA 773s
  [13700/31879] 581s, ETA 772s
  [13750/31879] 582s, ETA 768s
  [13800/31879] 584s, ETA 766s
  [13850/31879] 587s, ETA 764s
  [13900/31879] 589s, ETA 762s
  [13950/31879] 592s, ETA 761s
  [14000/31879] 595s, ETA 759s
  [14050/31879] 596s, ETA 756s
  [14100/31879] 597s, ETA 753s
  [14150/31879] 598s, ETA 750s
  [14200/31879] 600s, ETA 747s
  [14250/31879] 603s, ETA 746s
  [14300/31879] 604s, ETA 742s
  [14350/31879] 606s, ETA 741s
  [14400/31879] 607s, ETA 737s
  [14450/31879] 609s, ETA 735s
  [14500/31879] 612s, ETA 733s
  [14550/31879] 613s, ETA 730s
  [14600/31879] 615s, ETA 728s
  [14650/31879] 617s, ETA 726s
  [14700/31879] 620s, ETA 725s
  [14750/31879] 621s, ETA 721s
  [14800/31879] 622s, ETA 718s
  [14850/31879] 625s, ETA 716s
  [14900/31879] 626s, ETA 714s
  [14950/31879] 630s, ETA 713s
  [15000/31879] 633s, ETA 713s
  [15050/31879] 638s, ETA 713s
  [15100/31879] 642s, ETA 713s
  [15150/31879] 644s, ETA 711s
  [15200/31879] 647s, ETA 710s
  [15250/31879] 648s, ETA 707s
  [15300/31879] 651s, ETA 705s
  [15350/31879] 653s, ETA 703s
  [15400/31879] 656s, ETA 702s
  [15450/31879] 657s, ETA 699s
  [15500/31879] 661s, ETA 698s
  [15550/31879] 664s, ETA 697s
  [15600/31879] 667s, ETA 696s
  [15650/31879] 668s, ETA 693s
  [15700/31879] 669s, ETA 690s
  [15750/31879] 671s, ETA 688s
  [15800/31879] 674s, ETA 686s
  [15850/31879] 677s, ETA 684s
  [15900/31879] 678s, ETA 681s
  [15950/31879] 679s, ETA 678s
  [16000/31879] 681s, ETA 676s
  [16050/31879] 684s, ETA 674s
  [16100/31879] 685s, ETA 672s
  [16150/31879] 686s, ETA 668s
  [16200/31879] 687s, ETA 665s
  [16250/31879] 689s, ETA 662s
  [16300/31879] 690s, ETA 659s
  [16350/31879] 693s, ETA 658s
  [16400/31879] 694s, ETA 655s
  [16450/31879] 695s, ETA 652s
  [16500/31879] 698s, ETA 650s
  [16550/31879] 699s, ETA 647s
  [16600/31879] 700s, ETA 644s
  [16650/31879] 701s, ETA 642s
  [16700/31879] 704s, ETA 640s
  [16750/31879] 707s, ETA 639s
  [16800/31879] 708s, ETA 636s
  [16850/31879] 709s, ETA 633s
  [16900/31879] 713s, ETA 632s
  [16950/31879] 716s, ETA 631s
  [17000/31879] 720s, ETA 630s
  [17050/31879] 723s, ETA 628s
  [17100/31879] 724s, ETA 625s
  [17150/31879] 725s, ETA 622s
  [17200/31879] 726s, ETA 620s
  [17250/31879] 729s, ETA 618s
  [17300/31879] 732s, ETA 617s
  [17350/31879] 734s, ETA 615s
  [17400/31879] 736s, ETA 613s
  [17450/31879] 738s, ETA 610s
  [17500/31879] 740s, ETA 608s
  [17550/31879] 743s, ETA 607s
  [17600/31879] 744s, ETA 604s
  [17650/31879] 747s, ETA 602s
  [17700/31879] 749s, ETA 600s
  [17750/31879] 750s, ETA 597s
  [17800/31879] 751s, ETA 594s
  [17850/31879] 754s, ETA 593s
  [17900/31879] 756s, ETA 591s
  [17950/31879] 758s, ETA 588s
  [18000/31879] 760s, ETA 586s
  [18050/31879] 764s, ETA 586s
  [18100/31879] 767s, ETA 584s
  [18150/31879] 770s, ETA 582s
  [18200/31879] 771s, ETA 579s
  [18250/31879] 773s, ETA 577s
  [18300/31879] 775s, ETA 575s
  [18350/31879] 777s, ETA 573s
  [18400/31879] 780s, ETA 571s
  [18450/31879] 783s, ETA 570s
  [18500/31879] 787s, ETA 569s
  [18550/31879] 788s, ETA 566s
  [18600/31879] 790s, ETA 564s
  [18650/31879] 792s, ETA 562s
  [18700/31879] 795s, ETA 561s
  [18750/31879] 798s, ETA 559s
  [18800/31879] 800s, ETA 557s
  [18850/31879] 802s, ETA 554s
  [18900/31879] 803s, ETA 552s
  [18950/31879] 805s, ETA 549s
  [19000/31879] 807s, ETA 547s
  [19050/31879] 809s, ETA 545s
  [19100/31879] 810s, ETA 542s
  [19150/31879] 812s, ETA 539s
  [19200/31879] 812s, ETA 537s
  [19250/31879] 815s, ETA 534s
  [19300/31879] 817s, ETA 532s
  [19350/31879] 818s, ETA 530s
  [19400/31879] 819s, ETA 527s
  [19450/31879] 821s, ETA 525s
  [19500/31879] 823s, ETA 522s
  [19550/31879] 824s, ETA 520s
  [19600/31879] 827s, ETA 518s
  [19650/31879] 828s, ETA 516s
  [19700/31879] 829s, ETA 513s
  [19750/31879] 832s, ETA 511s
  [19800/31879] 835s, ETA 509s
  [19850/31879] 838s, ETA 508s
  [19900/31879] 839s, ETA 505s
  [19950/31879] 842s, ETA 503s
  [20000/31879] 845s, ETA 502s
  [20050/31879] 846s, ETA 499s
  [20100/31879] 847s, ETA 497s
  [20150/31879] 851s, ETA 495s
  [20200/31879] 853s, ETA 493s
  [20250/31879] 854s, ETA 491s
  [20300/31879] 857s, ETA 489s
  [20350/31879] 858s, ETA 486s
  [20400/31879] 860s, ETA 484s
  [20450/31879] 863s, ETA 482s
  [20500/31879] 865s, ETA 480s
  [20550/31879] 866s, ETA 478s
  [20600/31879] 868s, ETA 475s
  [20650/31879] 870s, ETA 473s
  [20700/31879] 873s, ETA 471s
  [20750/31879] 874s, ETA 469s
  [20800/31879] 877s, ETA 467s
  [20850/31879] 879s, ETA 465s
  [20900/31879] 880s, ETA 462s
  [20950/31879] 881s, ETA 460s
  [21000/31879] 884s, ETA 458s
  [21050/31879] 887s, ETA 456s
  [21100/31879] 889s, ETA 454s
  [21150/31879] 892s, ETA 452s
  [21200/31879] 894s, ETA 451s
  [21250/31879] 897s, ETA 449s
  [21300/31879] 900s, ETA 447s
  [21350/31879] 903s, ETA 445s
  [21400/31879] 905s, ETA 443s
  [21450/31879] 908s, ETA 441s
  [21500/31879] 909s, ETA 439s
  [21550/31879] 910s, ETA 436s
  [21600/31879] 912s, ETA 434s
  [21650/31879] 916s, ETA 433s
  [21700/31879] 920s, ETA 431s
  [21750/31879] 921s, ETA 429s
  [21800/31879] 922s, ETA 426s
  [21850/31879] 924s, ETA 424s
  [21900/31879] 925s, ETA 422s
  [21950/31879] 928s, ETA 420s
  [22000/31879] 930s, ETA 417s
  [22050/31879] 933s, ETA 416s
  [22100/31879] 934s, ETA 413s
  [22150/31879] 936s, ETA 411s
  [22200/31879] 939s, ETA 410s
  [22250/31879] 941s, ETA 407s
  [22300/31879] 942s, ETA 405s
  [22350/31879] 944s, ETA 403s
  [22400/31879] 946s, ETA 400s
  [22450/31879] 949s, ETA 398s
  [22500/31879] 950s, ETA 396s
  [22550/31879] 951s, ETA 393s
  [22600/31879] 954s, ETA 392s
  [22650/31879] 955s, ETA 389s
  [22700/31879] 957s, ETA 387s
  [22750/31879] 961s, ETA 385s
  [22800/31879] 963s, ETA 384s
  [22850/31879] 967s, ETA 382s
  [22900/31879] 969s, ETA 380s
  [22950/31879] 972s, ETA 378s
  [23000/31879] 975s, ETA 376s
  [23050/31879] 978s, ETA 375s
  [23100/31879] 981s, ETA 373s
  [23150/31879] 983s, ETA 371s
  [23200/31879] 985s, ETA 369s
  [23250/31879] 987s, ETA 366s
  [23300/31879] 989s, ETA 364s
  [23350/31879] 992s, ETA 362s
  [23400/31879] 993s, ETA 360s
  [23450/31879] 996s, ETA 358s
  [23500/31879] 999s, ETA 356s
  [23550/31879] 1002s, ETA 354s
  [23600/31879] 1003s, ETA 352s
  [23650/31879] 1004s, ETA 349s
  [23700/31879] 1006s, ETA 347s
  [23750/31879] 1008s, ETA 345s
  [23800/31879] 1011s, ETA 343s
  [23850/31879] 1013s, ETA 341s
  [23900/31879] 1016s, ETA 339s
  [23950/31879] 1019s, ETA 337s
  [24000/31879] 1021s, ETA 335s
  [24050/31879] 1023s, ETA 333s
  [24100/31879] 1026s, ETA 331s
  [24150/31879] 1028s, ETA 329s
  [24200/31879] 1030s, ETA 327s
  [24250/31879] 1033s, ETA 325s
  [24300/31879] 1034s, ETA 323s
  [24350/31879] 1036s, ETA 320s
  [24400/31879] 1039s, ETA 318s
  [24450/31879] 1041s, ETA 316s
  [24500/31879] 1045s, ETA 315s
  [24550/31879] 1046s, ETA 312s
  [24600/31879] 1047s, ETA 310s
  [24650/31879] 1048s, ETA 307s
  [24700/31879] 1049s, ETA 305s
  [24750/31879] 1051s, ETA 303s
  [24800/31879] 1052s, ETA 300s
  [24850/31879] 1054s, ETA 298s
  [24900/31879] 1055s, ETA 296s
  [24950/31879] 1058s, ETA 294s
  [25000/31879] 1060s, ETA 292s
  [25050/31879] 1062s, ETA 289s
  [25100/31879] 1064s, ETA 287s
  [25150/31879] 1065s, ETA 285s
  [25200/31879] 1068s, ETA 283s
  [25250/31879] 1069s, ETA 281s
  [25300/31879] 1071s, ETA 279s
  [25350/31879] 1072s, ETA 276s
  [25400/31879] 1076s, ETA 274s
  [25450/31879] 1078s, ETA 272s
  [25500/31879] 1080s, ETA 270s
  [25550/31879] 1082s, ETA 268s
  [25600/31879] 1085s, ETA 266s
  [25650/31879] 1086s, ETA 264s
  [25700/31879] 1088s, ETA 262s
  [25750/31879] 1090s, ETA 259s
  [25800/31879] 1093s, ETA 258s
  [25850/31879] 1095s, ETA 255s
  [25900/31879] 1097s, ETA 253s
  [25950/31879] 1100s, ETA 251s
  [26000/31879] 1102s, ETA 249s
  [26050/31879] 1104s, ETA 247s
  [26100/31879] 1106s, ETA 245s
  [26150/31879] 1107s, ETA 243s
  [26200/31879] 1110s, ETA 241s
  [26250/31879] 1112s, ETA 238s
  [26300/31879] 1115s, ETA 236s
  [26350/31879] 1117s, ETA 234s
  [26400/31879] 1120s, ETA 232s
  [26450/31879] 1122s, ETA 230s
  [26500/31879] 1125s, ETA 228s
  [26550/31879] 1126s, ETA 226s
  [26600/31879] 1129s, ETA 224s
  [26650/31879] 1131s, ETA 222s
  [26700/31879] 1132s, ETA 220s
  [26750/31879] 1136s, ETA 218s
  [26800/31879] 1137s, ETA 215s
  [26850/31879] 1140s, ETA 213s
  [26900/31879] 1142s, ETA 211s
  [26950/31879] 1144s, ETA 209s
  [27000/31879] 1147s, ETA 207s
  [27050/31879] 1149s, ETA 205s
  [27100/31879] 1152s, ETA 203s
  [27150/31879] 1153s, ETA 201s
  [27200/31879] 1156s, ETA 199s
  [27250/31879] 1159s, ETA 197s
  [27300/31879] 1161s, ETA 195s
