[Corpus] 캐시 로드: c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\corpus.json
전체 청크: 31879개
체크포인트: 0번부터 재시작
  [18850/31879] 864s, ETA 597s
  [18900/31879] 866s, ETA 594s
  [18950/31879] 867s, ETA 592s
  [19000/31879] 871s, ETA 590s
  → 저장 완료 (19000개)
  [19050/31879] 875s, ETA 589s
  [19100/31879] 875s, ETA 586s
  [19150/31879] 876s, ETA 582s
  [19200/31879] 878s, ETA 580s
  [19250/31879] 878s, ETA 576s
  [19300/31879] 879s, ETA 573s
  [19350/31879] 882s, ETA 571s
  [19400/31879] 885s, ETA 569s
  [19450/31879] 887s, ETA 567s
  [19500/31879] 887s, ETA 563s
  → 저장 완료 (19500개)
  [19550/31879] 890s, ETA 561s
  [19600/31879] 891s, ETA 558s
  [19650/31879] 893s, ETA 556s
  [19700/31879] 895s, ETA 553s
  [19750/31879] 897s, ETA 551s
  [19800/31879] 900s, ETA 549s
  [19850/31879] 902s, ETA 546s
  [19900/31879] 904s, ETA 544s
  [19950/31879] 907s, ETA 542s
  [20000/31879] 909s, ETA 540s
  → 저장 완료 (20000개)
  [20050/31879] 913s, ETA 539s
  [20100/31879] 914s, ETA 536s
  [20150/31879] 915s, ETA 533s
  [20200/31879] 916s, ETA 529s
  [20250/31879] 918s, ETA 527s
  [20300/31879] 920s, ETA 525s
  [20350/31879] 921s, ETA 522s
  [20400/31879] 922s, ETA 519s
  [20450/31879] 924s, ETA 516s
  [20500/31879] 926s, ETA 514s
  → 저장 완료 (20500개)
  [20550/31879] 930s, ETA 513s
  [20600/31879] 931s, ETA 510s
  [20650/31879] 934s, ETA 508s
  [20700/31879] 935s, ETA 505s
  [20750/31879] 937s, ETA 502s
  [20800/31879] 939s, ETA 500s
  [20850/31879] 940s, ETA 497s
  [20900/31879] 942s, ETA 495s
  [20950/31879] 945s, ETA 493s
  [21000/31879] 947s, ETA 490s
  → 저장 완료 (21000개)
  [21050/31879] 951s, ETA 489s
  [21100/31879] 952s, ETA 486s
  [21150/31879] 952s, ETA 483s
  [21200/31879] 955s, ETA 481s
  [21250/31879] 958s, ETA 479s
  [21300/31879] 958s, ETA 476s
  [21350/31879] 959s, ETA 473s
  [21400/31879] 961s, ETA 471s
  [21450/31879] 962s, ETA 468s
  [21500/31879] 963s, ETA 465s
  → 저장 완료 (21500개)
  [21550/31879] 966s, ETA 463s
  [21600/31879] 968s, ETA 461s
  [21650/31879] 971s, ETA 459s
  [21700/31879] 972s, ETA 456s
  [21750/31879] 975s, ETA 454s
  [21800/31879] 978s, ETA 452s
  [21850/31879] 978s, ETA 449s
  [21900/31879] 981s, ETA 447s
  [21950/31879] 984s, ETA 445s
  [22000/31879] 985s, ETA 442s
  → 저장 완료 (22000개)
  [22050/31879] 988s, ETA 440s
  [22100/31879] 990s, ETA 438s
  [22150/31879] 991s, ETA 435s
  [22200/31879] 994s, ETA 433s
  [22250/31879] 997s, ETA 431s
  [22300/31879] 998s, ETA 429s
  [22350/31879] 999s, ETA 426s
  [22400/31879] 1001s, ETA 424s
  [22450/31879] 1002s, ETA 421s
  [22500/31879] 1003s, ETA 418s
  → 저장 완료 (22500개)
  [22550/31879] 1007s, ETA 417s
  [22600/31879] 1010s, ETA 415s
  [22650/31879] 1012s, ETA 412s
  [22700/31879] 1013s, ETA 409s
  [22750/31879] 1015s, ETA 407s
  [22800/31879] 1018s, ETA 405s
  [22850/31879] 1019s, ETA 403s
  [22900/31879] 1021s, ETA 400s
  [22950/31879] 1023s, ETA 398s
  [23000/31879] 1024s, ETA 395s
  → 저장 완료 (23000개)
  [23050/31879] 1028s, ETA 394s
  [23100/31879] 1029s, ETA 391s
  [23150/31879] 1030s, ETA 388s
  [23200/31879] 1031s, ETA 386s
  [23250/31879] 1031s, ETA 383s
  [23300/31879] 1034s, ETA 381s
  [23350/31879] 1037s, ETA 379s
  [23400/31879] 1039s, ETA 377s
  [23450/31879] 1042s, ETA 375s
  [23500/31879] 1044s, ETA 372s
  → 저장 완료 (23500개)
  [23550/31879] 1048s, ETA 371s
  [23600/31879] 1049s, ETA 368s
  [23650/31879] 1051s, ETA 366s
  [23700/31879] 1054s, ETA 364s
  [23750/31879] 1055s, ETA 361s
  [23800/31879] 1057s, ETA 359s
  [23850/31879] 1058s, ETA 356s
  [23900/31879] 1059s, ETA 354s
  [23950/31879] 1061s, ETA 351s
  [24000/31879] 1064s, ETA 349s
  → 저장 완료 (24000개)
  [24050/31879] 1068s, ETA 348s
  [24100/31879] 1070s, ETA 345s
  [24150/31879] 1072s, ETA 343s
  [24200/31879] 1075s, ETA 341s
  [24250/31879] 1077s, ETA 339s
  [24300/31879] 1078s, ETA 336s
  [24350/31879] 1079s, ETA 334s
  [24400/31879] 1080s, ETA 331s
  [24450/31879] 1081s, ETA 328s
  [24500/31879] 1083s, ETA 326s
  → 저장 완료 (24500개)
  [24550/31879] 1086s, ETA 324s
  [24600/31879] 1087s, ETA 322s
  [24650/31879] 1087s, ETA 319s
  [24700/31879] 1090s, ETA 317s
  [24750/31879] 1090s, ETA 314s
  [24800/31879] 1093s, ETA 312s
  [24850/31879] 1095s, ETA 310s
  [24900/31879] 1097s, ETA 307s
  [24950/31879] 1098s, ETA 305s
  [25000/31879] 1099s, ETA 302s
  → 저장 완료 (25000개)
  [25050/31879] 1103s, ETA 301s
  [25100/31879] 1104s, ETA 298s
  [25150/31879] 1106s, ETA 296s
  [25200/31879] 1109s, ETA 294s
  [25250/31879] 1109s, ETA 291s
  [25300/31879] 1111s, ETA 289s
  [25350/31879] 1112s, ETA 286s
  [25400/31879] 1114s, ETA 284s
  [25450/31879] 1116s, ETA 282s
  [25500/31879] 1117s, ETA 279s
  → 저장 완료 (25500개)
  [25550/31879] 1122s, ETA 278s
  [25600/31879] 1124s, ETA 276s
  [25650/31879] 1127s, ETA 274s
  [25700/31879] 1130s, ETA 272s
  [25750/31879] 1133s, ETA 270s
  [25800/31879] 1135s, ETA 267s
  [25850/31879] 1137s, ETA 265s
  [25900/31879] 1137s, ETA 263s
  [25950/31879] 1138s, ETA 260s
  [26000/31879] 1140s, ETA 258s
  → 저장 완료 (26000개)
  [26050/31879] 1144s, ETA 256s
  [26100/31879] 1146s, ETA 254s
  [26150/31879] 1148s, ETA 251s
  [26200/31879] 1150s, ETA 249s
  [26250/31879] 1152s, ETA 247s
  [26300/31879] 1153s, ETA 245s
  [26350/31879] 1153s, ETA 242s
  [26400/31879] 1154s, ETA 239s
  [26450/31879] 1156s, ETA 237s
  [26500/31879] 1158s, ETA 235s
  → 저장 완료 (26500개)
  [26550/31879] 1161s, ETA 233s
  [26600/31879] 1162s, ETA 231s
  [26650/31879] 1165s, ETA 229s
  [26700/31879] 1167s, ETA 226s
  [26750/31879] 1171s, ETA 224s
  [26800/31879] 1173s, ETA 222s
  [26850/31879] 1176s, ETA 220s
  [26900/31879] 1176s, ETA 218s
  [26950/31879] 1179s, ETA 216s
  [27000/31879] 1180s, ETA 213s
  → 저장 완료 (27000개)
  [27050/31879] 1185s, ETA 211s
  [27100/31879] 1186s, ETA 209s
  [27150/31879] 1187s, ETA 207s
  [27200/31879] 1190s, ETA 205s
  [27250/31879] 1190s, ETA 202s
  [27300/31879] 1191s, ETA 200s
  [27350/31879] 1193s, ETA 198s
  [27400/31879] 1194s, ETA 195s
  [27450/31879] 1197s, ETA 193s
  [27500/31879] 1199s, ETA 191s
  → 저장 완료 (27500개)
  [27550/31879] 1204s, ETA 189s
  [27600/31879] 1205s, ETA 187s
  [27650/31879] 1206s, ETA 184s
  [27700/31879] 1208s, ETA 182s
  [27750/31879] 1211s, ETA 180s
  [27800/31879] 1214s, ETA 178s
  [27850/31879] 1216s, ETA 176s
  [27900/31879] 1218s, ETA 174s
  [27950/31879] 1219s, ETA 171s
  [28000/31879] 1219s, ETA 169s
  → 저장 완료 (28000개)
  [28050/31879] 1224s, ETA 167s
  [28100/31879] 1226s, ETA 165s
  [28150/31879] 1226s, ETA 162s
  [28200/31879] 1227s, ETA 160s
  [28250/31879] 1228s, ETA 158s
  [28300/31879] 1232s, ETA 156s
  [28350/31879] 1234s, ETA 154s
  [28400/31879] 1236s, ETA 151s
  [28450/31879] 1238s, ETA 149s
  [28500/31879] 1239s, ETA 147s
  → 저장 완료 (28500개)
  [28550/31879] 1244s, ETA 145s
  [28600/31879] 1245s, ETA 143s
  [28650/31879] 1247s, ETA 141s
  [28700/31879] 1250s, ETA 138s
  [28750/31879] 1252s, ETA 136s
  [28800/31879] 1253s, ETA 134s
  [28850/31879] 1255s, ETA 132s
  [28900/31879] 1258s, ETA 130s
  [28950/31879] 1259s, ETA 127s
  [29000/31879] 1259s, ETA 125s
  → 저장 완료 (29000개)
  [29050/31879] 1264s, ETA 123s
  [29100/31879] 1266s, ETA 121s
  [29150/31879] 1267s, ETA 119s
  [29200/31879] 1272s, ETA 117s
  [29250/31879] 1274s, ETA 115s
  [29300/31879] 1275s, ETA 112s
  [29350/31879] 1278s, ETA 110s
  [29400/31879] 1279s, ETA 108s
  [29450/31879] 1280s, ETA 106s
  [29500/31879] 1282s, ETA 103s
  → 저장 완료 (29500개)
  [29550/31879] 1285s, ETA 101s
  [29600/31879] 1287s, ETA 99s
  [29650/31879] 1289s, ETA 97s
  [29700/31879] 1291s, ETA 95s
  [29750/31879] 1293s, ETA 93s
  [29800/31879] 1294s, ETA 90s
  [29850/31879] 1297s, ETA 88s
  [29900/31879] 1301s, ETA 86s
  [29950/31879] 1302s, ETA 84s
  [30000/31879] 1305s, ETA 82s
  → 저장 완료 (30000개)
  [30050/31879] 1309s, ETA 80s
  [30100/31879] 1312s, ETA 78s
  [30150/31879] 1314s, ETA 75s
  [30200/31879] 1317s, ETA 73s
  [30250/31879] 1318s, ETA 71s
  [30300/31879] 1321s, ETA 69s
  [30350/31879] 1321s, ETA 67s
  [30400/31879] 1323s, ETA 64s
  [30450/31879] 1325s, ETA 62s
  [30500/31879] 1330s, ETA 60s
  → 저장 완료 (30500개)
  [30550/31879] 1333s, ETA 58s
  [30600/31879] 1336s, ETA 56s
  [30650/31879] 1339s, ETA 54s
  [30700/31879] 1340s, ETA 51s
  [30750/31879] 1342s, ETA 49s
  [30800/31879] 1343s, ETA 47s
  [30850/31879] 1344s, ETA 45s
  [30900/31879] 1346s, ETA 43s
  [30950/31879] 1349s, ETA 40s
  [31000/31879] 1350s, ETA 38s
  → 저장 완료 (31000개)
  [31050/31879] 1354s, ETA 36s
  [31100/31879] 1355s, ETA 34s
  [31150/31879] 1356s, ETA 32s
  [31200/31879] 1358s, ETA 30s
  [31250/31879] 1360s, ETA 27s
  [31300/31879] 1361s, ETA 25s
  [31350/31879] 1363s, ETA 23s
  [31400/31879] 1366s, ETA 21s
  [31450/31879] 1367s, ETA 19s
  [31500/31879] 1369s, ETA 16s
  → 저장 완료 (31500개)
  [31550/31879] 1374s, ETA 14s
  [31600/31879] 1376s, ETA 12s
  [31650/31879] 1378s, ETA 10s
  [31700/31879] 1380s, ETA 8s
  [31750/31879] 1381s, ETA 6s
  [31800/31879] 1382s, ETA 3s
  [31850/31879] 1383s, ETA 1s
  [31879/31879] 1385s, ETA 0s
  → 저장 완료 (31879개)

완료! shape=(31879, 4096), 파일=c:\Users\SSAFY\Desktop\공정거래_데이터\rag_system\index\embeddings.npy (249MB)
총 1391s 소요
